	Lemma	Fonetisch	Woordsoort	Vormen	Erk	Synoniem of definitie	Voorbeeldzin
de	was		znw; znw*	wassen; wasje*	A2*	kneedbare natuurlijke stof	
het	wasgoed		znw*	/; /*	B1*		
het	washandje						
de	wasmachine		znw*	wasmachines; wasmachientje*	A2*		
	wassen		ww; ww; ww; bnw*	was, waste, gewast*	A2		
	wassen		ww; ww; ww; bnw*	/; /, /*	A2*	van was gemaakt	
de	wastafel		znw*	wastafels; wastafeltje*	A2*		
	wat		tsw; vnw; vnw; bw; vnw*	*	A1	welk ding?	Wat is je familienaam?
	wat		tsw; vnw; vnw; bw; vnw*	*	A2	een beetje; iets	Ik heb wat gestudeerd.
	wat		tsw; vnw; vnw; bw; vnw*	*	A2*		
het	water		znw*	waters; watertje*	A1	H2O	
	waterdicht		bnw*	waterdichte; waterdichter, waterdichtst*	B1*		
de	waterkans		znw*	waterkansen; waterkansje*	B2*		
de	waterleiding		znw*	waterleidingen; /*	B1*		
de	Waterman		znw; znw*	watermannen; watermannetje*	B2*		
de	wateroverlast		znw*	/; /*	B1*		
de	watersport		znw*	watersporten; /*	B2*		
	watertanden		ww*	watertand, watertandde, gewatertand*	B2*		
de	waterval		znw*	watervallen; watervalletje*	B1*		
de	waterzooi		znw*	waterzooien; /*	B2*		
de	watt		znw*	watts; /*	B2*		
de	WA-verzekering		znw*	wa-verzekeringen; /*	B2*		
	wat voor				A2	van welk soort	Wat voor boeken lees je graag?
	wazig		bnw*	wazige; waziger, wazigst*	B1*		
de	wc		znw*	wc's; wc'tje*	A1		
	we		vnw*	*	A1		
het	web		znw; znw*	webben; webbetje*	B1*		
de	weblog		znw*	weblogs; weblogje*	B2*		
de	website		znw*	websites; websiteje*	B1*		
de	webwinkel		znw*	webwinkels; webwinkeltje*	B2*		
	wedden		ww*	wed, wedde, gewed*	A2*		
de	weddenschap		znw*	weddenschappen; weddenschapje*	B1*		
	wederom		bw*	*	B2*		
de	wederopbouw		znw*	/; /*	B2*		
de	wederwaardigheden						
	wederzijds		bnw*	wederzijdse; wederzijdser, wederzijdst*	B2*		
	wedijveren		ww*	wedijver, wedijverde, gewedijverd*	B2*		
de	wedstrijd		znw*	wedstrijden; wedstrijdje*	A2*		
de	weduwe		znw*	weduwen; weduwtje*	B1*		
de	weduwnaar		znw*	weduwnaars; weduwnaartje*	B2*		
	wee		bnw; znw; tsw*	weeë; weeër, weest*	B2*		
de	wee		bnw; znw; tsw*	weeë; weeër, weest*	B2*		
het	wee		bnw; znw; tsw*	weeë; weeër, weest*	B2*		
het	weefsel		znw*	weefsels; weefseltje*	B2*		
de	weegschaal		znw*	weegschalen; weegschaaltje*	B1*		
de	Weegschaal		znw; znw*	weegschalen; weegschaaltje*	B1*		
de	week		znw; bnw; znw; znw*	/; /*	A1		
het	weekblad		znw*	weekbladen; weekblaadje*	B2*		
het	weekdier		znw*	weekdieren; weekdiertje*	B2*		
het	weekend		znw*	weekenden; weekendje*	A2*		
de	weelde		znw*	/; /*	B2*		
de	weemoed		znw*	/; /*	B2*		
	weer		bw; znw; znw; znw; znw*	*	A2		
het	weer		bw; znw; znw; znw; znw*	/; weertje*	A1		
	weerbarstig		bnw*	weerbarstige; weerbarstiger, weerbarstigst*	B2*		
het	weerbericht		znw*	weerberichten; /*	B1*		
de	weerga		znw*	/; /*	B2*		
	weergaloos		bnw*	weergaloze; weergalozer, weergaloost*	B2*		
de	weergave		znw*	weergaven; /*	B2*		
	weergeven		ww*	weergeef, weergaf, weergegeven*	B2*		
	weerhouden		ww*	weerhoud, weerhield, weerhouden*	B2*		
	weerhouden van						
	weerkaatsen		ww*	weerkaats, weerkaatste, weerkaatst*	B2*		
	weerleggen		ww*	weerleg, weerlegde, weerlegd*	B2*		
	weerloos		bnw*	weerloze; weerlozer, weerloost*	B2*		
de	weerslag		znw*	weerslagen; /*	B2*		
