	Lemma	Fonetisch	Woordsoort	Vormen	Erk	Synoniem of definitie	Voorbeeldzin
de	chemie		znw*	/; /*	B2*		
de	chemokar		znw*	chemokarren; /*	B2*		
de	chemotherapie		znw*	chemotherapieën; /*	B1*		
de	cheque		znw*	cheques; chequeje*	B2*		
	chic		bnw; znw*	chique; chiquer, chicst*	B2*		
	chillen		ww*	chil, childe, gechild*	B2*		
de	chip		znw*	chips; chipje*	B1*		
de	chirurg		znw*	chirurgen; /*	B1*		
het	chloor		znw*	/; /*	B2*		
de	chocolade		znw; bnw*	/; /*	A2*		
de	chocolademelk		znw*	/; chocolademelkje*	B1*		
de	chocoladepasta		znw*	chocoladepasta's; /*	B2*		
de	cholesterol		znw*	/; /*	B2*		
de	choreograaf		znw*	choreografen; /*	B2*		
	christelijk		bnw*	christelijke; christelijker, christelijkst*	A2		
de	christen		znw*	christenen; christentje*	A2		
het	christendom		znw*	/; /*	B1*		
	Christus		znw*	/; /*	B1*		
	chronisch		bnw*	chronische; chronischer, /*	B2*		
	chronologisch		bnw*	chronologische; chronologischer, /*	B2*		
de	chrysant		znw*	chrysanten; chrysantje*	B2*		
de	cider		znw*	ciders; cidertje*	B2*		
het	cijfer		znw*	cijfers; cijfertje*	A1	nummer van 0 tot 9	
de	cilinder		znw*	cilinders; cilindertje*	B2*		
de	cinema		znw*	cinema's; cinemaatje*	B2*		
de	cipier		znw*	cipiers; cipiertje*	B2*		
	circa		bw*	*	A2		
het	circuit		znw*	circuits; circuitje*	B2*		
	circuleren		ww*	circuleer, circuleerde, gecirculeerd*	B2*		
het	circus		znw*	circussen; circusje*	B1*		
de	cirkel		znw*	cirkels; cirkeltje*	B1*		
	cirkelen		ww*	cirkel, cirkelde, gecirkeld*	B2*		
het	citaat		znw*	citaten; citaatje*	B2*		
	citeren		ww*	citeer, citeerde, geciteerd*	B2*		
het	cito		bnw*	/; /, /*	B2*	centraal instituut voor toets…	
de	citroen		znw*	citroenen; citroentje*	A2	🍋	
	civiel		bnw*	civiele; civieler, civielst*	B2*		
het	CJP					cultureel jongerenpaspoort	
de	ckv					culturele en kunstzinnige vorming	
	cl		afk*	*	B2*	centiliter	
de	claim		znw*	claims; claimpje*	B2*		
	claimen		ww*	claim, claimde, geclaimd*	B2*		
	clandestien		bnw*	clandestiene; clandestiener, clandestienst*	B2*		
de	clark		znw*	clarks; clarkje*	B2*		
de	classeur		znw*	classeurs; /*	B2*	(BE) ringmap	
de	clausule		znw*	clausules; /*	B2*		
de	claxon		znw*	claxons; claxonnetje*	B2*		
het	CLB					centrum voor leerlingenbegeleiding	
	clean		bnw*	cleane; cleaner, cleanst*	B2*	strak en zakelijk	
het	cliché		znw*	clichés; clicheetje*	B2*		
de	cliënt		znw*	cliënten; cliëntje*	B1*		
de	climax		znw*	climaxen; climaxje*	B2*		
	in de clinch		afk*	*	B2*	ruzie hebben	
de	clip		znw*	clips; clipje*	B2*		
de	clitoris		znw*	clitorissen; clitorisje*	B2*		
de	clou		znw*	clous; cloutje*	B2*		
de	clown		znw*	clowns; clowntje*	B1*		
de	club		znw; znw*	clubs; clubje*	A2		
	cm		afk*	*	B2*	centimeter	
het	CNV		znw*	/; /*	B2*		
	co-						
	en co						
het	COA		znw; znw*	coa's; /*	B2*		
de	coach		znw*	coaches; /*	B1*		
	coachen		ww*	coach, coachte, gecoacht*	B1*		
de	coalitie		znw*	coalities; /*	B2*		
het	coalitiecabinet						
het	COC						
de	cocaïne		znw*	/; /*	B1*		
de	cockpit		znw*	cockpits; cockpitje*	B1*		
de	cocktail		znw*	cocktails; cocktailtje*	B2*		
de	code		znw*	codes; codetje*	B1*		
de	coffeepad						
de	coffeeshop		znw*	coffeeshops; coffeeshopje*	B1*		
de	cognac		znw*	cognacs; cognacje*	B1*		
de	coke		znw*	cokes; /*	B2*	cocaïne	
de	cola		znw*	cola's; coaatje*	A2*		
de/het	colbert		znw*	colberts; colbertje*	B2*		
de	collage		znw*	collages; collagetje*	B2*		
de	collecte		znw*	collectes; /*	B2*		
de	collectebus		znw*	collectebussen; collectebusje*	B2*		
	collecteren		ww*	collecteer, collecteerde, gecollecteerd*	B2*		
de	collectie		znw*	collecties; collectietje*	B2*		
	collectief		bnw; znw*	collectieve; collectiever, collectiefst*	B2*		
het	collectief		bnw; znw*	collectieven; collectiefje*	B2*		
de	collega		znw*	collega's; collegaatje*	A1		
het	college		znw*	colleges; /*	A2		
de	colonne		znw*	colonnes; colonnetje*	B2*		
de	column		znw*	columns; columnpje*	B2*		
de/het	coma		znw; znw*	coma's; comaatje*	B1*		
de	combinatie		znw*	combinaties; combinatietje*	B1*		
	combineren		ww*	combineer, combineerde, gecombineerd*	B1*		
de	comeback		znw*	comebacks; comebackje*	B2*		
het	comfort		znw*	comforts; comfortje*	B2*		
	comfortabel		bnw*	comfortabele; comfortabeler, comfortabelst*	B1*		
de	coming-out		znw*	coming-outs; /*	B2*		
het	comité		znw*	comités; comiteetje*	B1*		
de	commandant		znw*	commandanten; commandantje*	B2*		
	commanderen		ww*	commandeer, commandeerde, gecommandeerd*	B1*		
het	commando		znw; znw*	commando's; /*	B2*		
de/het	commentaar		znw*	commentaren; commentaartje*	B1*		
de	commentator		znw*	commentators; /*	B2*		
de	commercial		znw*	commercials; /*	B2*		
de	commercie		znw*	/; /*	B2*	handel	
	commercieel		bnw*	commerciële; commerciëler, commercieelst*	B2*		
de	commissaris		znw*	commissarissen; commissarisje*	B2*		
de	commissie		znw*	commissies; commissietje*	A2		
de	commode		znw*	commodes; /*	B2*		
de	commotie		znw*	commoties; /*	B2*		
	communautair		bnw*	communautaire; communautairder, communautairst*	B2*	(BE)	
de	communicatie		znw*	communicaties; /*	B1*		
	communiceren		ww*	communiceer, communiceerde, gecommuniceerd*	B1*		
de	communie		znw*	communiën; /*	B2*		
het	communisme		znw*	/; /*	B1*		
	compact		bnw*	compacte; compacter, compactst*	B2*		
de	comagnon						
de	compensatie		znw*	compensaties; /*	B2*		
	compenseren		ww*	compenseer, compenseerde, gecompenseerd*	B2*		
de	competitie		znw*	competities; competitietje*	B1*		
	competitief		bnw*	competitieve; competitiever, competitiefst*	B2*		
	compleet		bnw*	complete; completer, compleetst*	B1*		
	complex		bnw; znw*	complexe; complexer, /*	B2*		
het	complex		bnw; znw*	complexen; complexje*	B2*		
de	complicatie		znw*	complicaties; /*	B2*		
het	compliment		znw*	complimenten; complimentje*	B1*		
het	complot		znw*	complotten; complotje*	B2*		
de	component		znw*	componenten; componentje*	B2*		
	componeren		ww*	componeer, componeerde, gecomponeerd*	B2*		
de	componist		znw*	componisten; componistje*	B2*	persoon die (klassiek) muziekstuk schrijft	
de	compositie		znw*	composities; compositietje*	B2*		
de/het	compost		znw*	/; /*	B2*		
het	compromis		znw*	compromissen; compromisje*	B2*		
de	computer		znw*	computers; computertje*	A1	pc	Ik werk altijd met een computer.
het	computerprogramma		znw*	computerprogramma's; computerprogrammaatje*	B1*		
de	concentratie		znw*	concentraties; /*	B2*		
het	concentratiekamp		znw*	concentratiekampen; concentratiekampje*	B1*		
	concentreren		ww*	concentreer, concentreerde, geconcentreerd*	B1*		
zich	concentreren		ww*	concentreer, concentreerde, geconcentreerd*	B1*		
het	concept		znw*	concepten; conceptje*	B2*		
het	concern		znw*	concerns; concerntje*	B2*		
het	concert		znw*	concerten; concertje*	A2*		
de	concessie		znw*	concessies; concessietje*	B2*		
de	conciërge		znw*	conciërges; /*	B2*		
	concluderen		ww*	concludeer, concludeerde, geconcludeerd*	B2*		
de	conclusie		znw*	conclusies; conclusietje*	A2		
het	concours		znw*	concours; concoursje*	B2*		
	concreet		bnw*	concrete; concreter, concreetst*	B2*		
de	concurrent		znw; bnw*	concurrenten; concurrentje*	B1*		
de	concurrentie		znw*	/; /*	B1*		
	concurreren		ww*	concurreer, concurreerde, geconcurreerd*	B1*		
de	condens		znw*	/; /*	B1*		
de	conditie		znw*	condities; /*	B1*		
	condoleren		ww*	condoleer, condoleerde, gecondoleerd*	B2*		
de/het	condoom		znw*	condooms; condoompje*	A2*		
de	conducteur		znw*	conducteurs; /*	A1		
de	conference		znw*	conferences; /*	B2*		
de	conferentie		znw*	conferenties; conferentietje*	B2*		
de	confituur		znw*	confituren; confituurtje*	B2*	(BE) jam	
het	conflict		znw*	conflicten; conflictje*	B1*		
	conform		bnw*	conforme; conformer, conformst*	B2*		
