	Lemma	Fonetisch	Woordsoort	Vormen	ERK	Synoniem of definitie	Voorbeeldzin	Count
de	x				A1	24ste letter van het alfabet	Hendrickx schrijf je soms met een x op het einde.	1
de	X-benen							2
de	xenofobie					angst voor vreemde dingen of personen		3
	XL							4
	XS							5
de	xtc					ecstasy (drug)		6
de	xylofoon					soort instrument		7
