	Lemma	Fonetisch	Woordsoort	Vormen	ERK	Synoniem of definitie	Voorbeeldzin	Count
de	aanleiding		znw		A2	reden waarom je begint	Hij is vaak boos zonder aanleiding.	95
de	aanloop		znw			snelle stappen die je neemt voor je springt		96
de	aanloop		znw			periode voor je begint		96
de	aanloop		znw			bezoek; gasten		96
	aanmanen		ww					97
de	aanmaning		znw					98
	aanmelden		ww		A2			99
de	aanmelding		znw					100
	aanmerkelijk		bnw					101
de	aanmerking		znw					102
	aanmoedigen		ww					103
de	aanmoediging		znw					104
	aannemelijk		bnw					105
	aannemen		ww		A2	in handen nemen wat je krijgt		106
	aannemen		ww		B1	als juist accepteren	Ik neem aan dat je komt?	106
	aannemen		ww		A2	werk (een baan/job) geven	Fantastische sollicitatie. We nemen je aan!	106
de	aannemer		znw					107
de	aanpak		znw					108
	aanpakken		ww					109
	aanpassen		ww		B1	veranderen met een bepaald doel		110
zich	aanpassen		ww			evolueren, jezelf veranderen met een bepaald doel		111
	aanprijzen		ww					112
	aanraden		ww					113
	aanraken		ww					114
de	aanraking		znw					115
	aanranden		ww					116
de	aanranding		znw					117
het	aanrecht		znw				Maak het aanrecht altijd schoon voor je kookt.	118
	aanreiken		ww					119
	aanrichten		ww					120
	aanrijden		ww					121
de	aanrijding		znw					122
	aanschaffen		ww					123
	aanscherpen		ww					124
	aanschouwen		ww					125
	aanslaan		ww			automatisch beginnen te werken	De centrale verwarming slaat altijd om 6 uur aan.	126
	aanslaan		ww			populair worden		126
de	aanslag		znw					127
het	aanslagbiljet		znw					128
	aansluiten		ww		B1	verbinden		129
	aansluiten bij		ww			passen/horen bij		130
zich	aansluiten bij		ww			volgen, gaan deelnemen		131
de	aansluiting		znw			verbinding met een netwerk		132
de	aansluiting		znw			contact, gevoel van samenzijn		132
de	aansluiting		znw			verbinding met een bus, trein, enz.		132
	aanspannen		ww					133
	aansporen		ww					134
de	aanspraak		znw					135
	aanspraak maken op							136
	aansprakelijk		bnw			verantwoordelijk		137
	aanspreken		ww			interessant lijken; leuk gevonden worden		138
	aanspreken		ww			naar iemand gaan en iets tegen die persoon zeggen		138
	aanspreken op		ww			een opmerking geven over (bv. gedrag)		139
	aanstaan		ww					140
	aanstaand		bnw			komend	Ze gaan aanstaande zaterdag trouwen.	141
	aanstaand		bnw			die iets gaat worden	Aanstaande ouders maken aan cadeaulijstje voor de baby die komt.	141
	aanstalten maken		ww			tonen dat je iets gaat doen		142
	aansteken		ww			doen branden 		143
	aansteken		ww			een ziekte doorgeven		143
	aansteken		ww			als anderen jouw gedrag gaan nadoen	Lode steekt zijn vriendjes aan; het zijn nu allemaal pestkoppen...	143
