	Lemma	Fonetisch	Woordsoort	Vormen	ERK	Synoniem of definitie	Voorbeeldzin	Count
de	aandoening		znw*	aandoeningen; aandoeninkje*	B2*	ernstige of chronische ziekte		39
	aandoenlijk		bnw*	aandoenlijke; aandoenlijker, aandoenlijkst*	B2*			40
de	aandrang		znw*	/; /*	B2*			41
	aandringen op		ww					42
	aanduiden		ww*	aanduid, duidde aan, aangeduid*	B1	aanwijzen, laten zien	Kan je de dader aanduiden?	43
	aanduiden		ww*	aanduid, duidde aan, aangeduid*	B1	een taak geven, benoemen		43
	aandurven		ww*	durf aan, aandurfde, aangedurfd*	B2*			44
	aaneen		bw*	*	B2*	aan elkaar		45
de	aaneenschakeling		znw*	aaneenschakelingen; /*	B2*			46
	aangaan		ww*	aanga, ging aan, aangegaan*	B2*	belangrijk zijn voor		47
	aangaan		ww*	aanga, ging aan, aangegaan*	B2*	beginnen		47
	aangeboren		bnw*	/; /, /*	B1*	congenitaal, niet geleerd/gekregen	Sommige allergieën zijn aangeboren, andere ontwikkel je op latere leeftijd.	48
	aangedaan		bnw*	aangedane; aangedaner, aangedaanst*	A2*	van: aandoen		49
	aangedaan		bnw*	aangedane; aangedaner, aangedaanst*	A2*	emotioneel		49
de	aangelegenheid		znw*	aangelegenheden; /*	B2*			50
	aangenaam		bnw*	aangename; aangenamer, aangenaamst*	A2	leuk, fijn	Aangenaam kennismaken!	51
	aangeschoten		bnw*	/; aangeschotener, aangeschotenst*	B1*	een beetje dronken		52
	aangeslagen		bnw*	/; aangeslagener, aangeslagenst*	B2*	gechoqueerd en triest		53
	aangetrouwd		bnw*	aangetrouwde; /, /*	B2*	deel van de schoonfamilie, familie door te trouwen		54
	aangeven		ww*	geef aan, gaf aan, aangegeven*	B1	informatie geven, laten weten	Een verkeersbord geeft de snelheidsgrens aan.	55
	aangeven		ww*	geef aan, gaf aan, aangegeven*	B1	bij autoriteiten melden	Geef de geboorte van je baby aan in het stadhuis.	55
	aangeven		ww*	geef aan, gaf aan, aangegeven*	A2	iets geven dat een beetje te ver is	Kan je de ketchup even aangeven?	55
	aangewezen op		bnw			afhangend van		56
	aangezien		ovw*	*	B1	omdat	Aangezien ik geen info heb, kan ik niets doen.	57
de	aangifte		znw*	aangiftes; /*	B2*	het vermelden aan een instantie (actie)		58
de	aangifte		znw	aangiftes; /*	B2*	iets wat je vermeld aan een instantie		
het	aangiftebiljet		znw*	aangiftebiljetten; aangiftebiljetje*	B2*			59
	aangrijpen		ww*	aangrijp, aangreep, aangegrepen*	B2*			60
	aangrijpend		bnw*	aangrijpende; aangrijpender, aangrijpendst*	B2*			61
	aanhalen		ww*	haal aan, aanhaalde, aangehaald*	B2*			62
