	Lemma	Fonetisch	Woordsoort	Vormen	Erk	Synoniem of definitie	Voorbeeldzin
de	tegenpartij		znw*	tegenpartijen; /*	B2*		
de	tegenprestatie		znw*	tegenprestaties; /*	B2*		
de	tegenslag		znw*	tegenslagen; tegenslagje*	B2*		
de	tegenspeler		znw*	tegenspelers; /*	B1*		
de	tegenspoed		znw*	tegenspoeden; /*	B2*		
de	tegenspraak		znw*	/; /*	B2*		
	tegenspreken		ww*	tegenspreek, tegensprak, tegengesproken*	B1*		
de	tegenstand		znw*	/; /*	B2*		
de	tegenstander		znw*	tegenstanders; tegenstandertje*	B1*		
de	tegenstandster		znw*	tegenstandsters; /*	B2*		
de	tegenstelling		znw*	tegenstellingen; /*	B1*		
	tegenstrijdig		bnw*	tegenstrijdige; tegenstrijdiger, tegenstrijdigst*	B2*		
	tegenvallen		ww*	tegenval, viel tegen, tegengevallen*	B1*	niet zo goed zijn	
de	tegenvaller		znw*	tegenvallers; tegenvallertje*	B1*		
	tegenwerken		ww*	tegenwerk, tegenwerkte, tegengewerkt*	B1*		
de	tegenwerping		znw*	tegenwerpingen; tegenwerpinkje*	B2*		
het	tegenwicht		znw*	tegenwichten; /*	B2*		
de	tegenwicht		znw*	tegenwichten; /*	B2*		
	tegenwoordig		bnw*	tegenwoordige; tegenwoordiger, tegenwoordigst*	B1*	van nu, huidig	
	tegenwoordig		bnw*	tegenwoordige; tegenwoordiger, tegenwoordigst*	B1*	de laatste tijd	
de	tegenzin		znw*	/; /*	B1*		
het	tegoed		znw*	tegoeden; tegoedje*	B2*		
het	tehuis		znw*	tehuizen; /*	B1*		
de	teil		znw*	teilen; teiltje*	B1*		
	teisteren		ww*	teister, teisterde, geteisterd*	B2*		
	tekeergaan		ww*	tekeerga, tekeerging, tekeergegaan*	B1*		
het	teken		znw*	tekenen; tekentje*	A2*		
	tekenen		ww*	teken, tekende, getekend*	A2*		
	tekenend		bnw*	tekenende; tekenender, tekenendst*	B2*		
de	tekenfilm		znw*	tekenfilms; tekenfilmpje*	B1*		
de	tekening		znw*	tekeningen; tekeningetje*	A2*		
het	tekort		znw*	tekorten; tekortje*	B1*		
	tekortdoen		ww*	doe tekort, deed tekort, tekortgedaan*	B2*		
	tekortkomen		ww*	kom tekort, kwam tekort, tekortgekomen*	B2*		
de	tekortkoming		znw*	tekortkomingen; tekortkominkje*	B2*		
	tekortschieten		ww*	tekortschiet, tekortschoot, tekortgeschoten*	B2*		
de	tekst		znw*	teksten; tekstje*	A2*		
de	tekstschrijfster		znw*	tekstschrijfsters; /*	B2*		
de	tekstschrijver		znw*	tekstschrijvers; /*	B1*		
de	tekstverwerker		znw*	tekstverwerkers; tekstverwerkertje*	B2*		
de	tel		znw; znw*	tellen; telletje*	A2*		
de	telecommunicatie		znw*	telecommunicaties; /*	B2*		
	telefoneren		ww*	telefoneer, telefoneerde, getelefoneerd*	B1*		
	telefonisch		bnw*	telefonische; /, /*	B1*		
de	telefoon		znw*	telefoons; telefoontje*	A2*		
de	telefooncel		znw*	telefooncellen; /*	B2*		
het	telefoongesprek		znw*	telefoongesprekken; telefoongesprekje*	B1*		
de	telefoonkaart		znw*	telefoonkaarten; /*	B1*		
het	telefoonnummer		znw*	telefoonnummers; telefoonnummertje*	B1*		
het	telefoontje						
de	telelens		znw*	telelenzen; /*	B2*		
	telen		ww*	teel, teelde, geteeld*	B1*		
de	telescoop		znw*	telescopen; telescoopje*	B2*		
de	teletekst		znw*	/; /*	B2*		
	teleurstellen		ww*	stel teleur, stelde teleur, teleurgesteld*	B2*		
de	teleurstelling		znw*	teleurstellingen; teleurstellinkje*	B1*		
de	televisie		znw*	televisies; televisietje*	A1		
het	televisieprogramma		znw*	televisieprogramma's; televisieprogrammaatje*	B2*		
de	televisieserie		znw*	televisieseries; /*	B2*		
de	televisiezender		znw*	televisiezenders; /*	B2*		
de	telex		znw*	telexen; /*	B2*		
de	telg		znw*	telgen; telgje*	B2*		
	telkens		bw*	*	A2		
	tellen		ww*	tel, telde, geteld*	A2		
de	telling		znw*	tellingen; tellinkje*	B2*		
de	teloorgang		znw*	teloorgangen; /*	B2*		
	temeer		bw*	*	B2*		
	temmen		ww*	tem, temde, getemd*	B2*		
de	tempel		znw*	tempels; tempeltje*	B1*		
het	temperament		znw*	temperamenten; /*	B2*		
de	temperatuur		znw*	temperaturen; temperatuurtje*	B1*		
	temperen		ww*	temper, temperde, getemperd*	B2*		
het	tempo		znw*	tempo's; tempootje*	B1*		
	ten		vz*	*	A2*		
de	tendens		znw*	tendensen; tendensje*	B2*		
	teneinde		ovw*	*	B2*		
de	teneur		znw*	/; /*	B2*		
	tenger		bnw*	tengere; tengerder, tengerst*	B2*		
	ten minste		bw*	*	B2*		
	tenminste		bw*	*	B1*		
het	tennis		znw*	/; /*	B1*		
