	Lemma	Fonetisch	Woordsoort	Vormen	Erk	Synoniem of definitie	Voorbeeldzin
	zevende		tw; znw; znw*	*	A2*		
	zeventien		tw*	*	A2*	17	
	zeventig		tw*	*	A2*	70	
	zgn.		bnw*	/; /, /*	B2*	zogenaamd	
	zich		vnw*	*	A2*		
het	zicht		znw; znw*	/; zichtje*	B2*		
	zichtbaar		bnw*	zichtbare; zichtbaarder, zichtbaarst*	B1*		
	zichzelf		vnw*	*	A2*		
	ziedend		bnw*	ziedende; ziedender, ziedendst*	B2*		
	ziek		bnw*	zieke; zieker, ziekst*	A1		
de	zieke		znw*	zieken; /*	A2*		
het	ziekenfonds		znw*	ziekenfondsen; /*	B1*		
het	ziekenhuis		znw*	ziekenhuizen; ziekenhuisje*	A2*		
de	ziekenwagen		znw*	ziekenwagens; ziekenwagentje*	A2*		
de	ziekte		znw*	ziekten; ziektetje*	A2*		
de	ziektekosten		znw*	ziektekosten; /*	B2*		
het	ziekteverzuim		znw*	/; /*	B2*		
de	ziektewet		znw*	ziektewetten; ziektewetje*	B2*		
de	ziel		znw*	zielen; zieltje*	B2*		
	zielig		bnw*	zielige; zieliger, zieligst*	B1*		
	zien		ww*	zie, zag, gezien*	A2*		
de	zigeuner		znw*	zigeuners; zigeunertje*	B2*		
de	zigeunerin		znw*	zigeunerinnen; zigeunerinnetje*	B2*		
	zij		znw; vnw; znw; znw*	*	A2*		
de	zij		znw; vnw; znw; znw*	/; /*	A2*	kant; =zijde	
de	zijde		znw; znw; znw*	/; /*	B1*	kant; =zij	
	zijdelings		bnw*	zijdelingse; zijdelingser, zijdelingst*	B2*		
de	zijkant		znw*	zijkanten; zijkantje*	A2*		
de	zijlijn		znw*	zijlijnen; zijlijntje*	B2*		
	zijn		ww; vnw; znw*	ben, was, geweest*	A1	van hem	
	zijn		ww; vnw; znw*	ben, was, geweest*	A1	=	Waar zijn jullie? — Ik ben hier en Thomas is daar.
het	zijspoor		znw*	zijsporen; zijspoortje*	B2*		
het	zilver		znw; bnw; znw*	/; /*	A2*		
	zilveren		bnw*	/; /, /*	B1*		
de	zin		znw*	zinnen; zinnetje*	A2*		
de	zin		znw*	zinnen; zinnetje*	A2*		
	zindelijk		bnw*	zindelijke; zindelijker, zindelijkst*	B1*		
	zingen		ww*	zing, zong, gezongen*	A2*		
het	zink		znw*	/; /*	B1*		
	zinken		ww; bnw*	/; /, /*	B1*		
	zinken		ww; bnw*	zink, zonk, gezonken*	B1*		
	zinloos		bnw*	zinloze; zinlozer, zinloost*	B1*		
	zinnen		ww; ww*	zin, zon, gezonnen*	A2*		
de	zinnen		ww; ww*	zin, zon, gezonnen*	A2*		
	zinnen op						
	zinnig		bnw*	zinnige; zinniger, zinnigst*	B2*		
	zinspelen op						
het	zintuig		znw*	zintuigen; zintuigje*	B1*		
	zinvol		bnw*	zinvolle; zinvoller, zinvolst*	B1*		
de	zitplaats		znw*	zitplaatsen; zitplaatsje*	B2*		
	zitten		ww*	zit, zat, gezeten*	A2*		
	zitten  aan						
de	zitting		znw*	zittingen; zittinkje*	B2*		
	z’n						
	zo		tsw; ovw; bw; znw*	*	A2*	op die manier	
	zo		tsw; ovw; bw; znw*	*	A2*	(+ adj.)	
	zo		tsw; ovw; bw; znw*	*	A2*	over een moment	Maak jij je al klaar; ik kom zo!
	zoal		bw*	*	B2*	onder andere, bijvoorbeeld	
	zoals		ovw*	*	A2*		
	zodanig		bw; vnw*	*	B2*		
	zodat		ovw*	*	A2*		
	zodoende		bw*	*	B2*		
	zodra		ovw*	*	B1*		
	zoek		bw*	*	A2*		
	zoeken		ww*	zoek, zocht, gezocht*	A2*		
de	zoekmachine		znw*	zoekmachines; zoekmachientje*	B2*		
de	zoektocht		znw*	zoektochten; zoektochtje*	B2*		
	zoemen		ww*	zoem, zoemde, gezoemd*	B1*		
de	zoen		znw*	zoenen; zoentje*	A2*		
	zoenen		ww*	zoen, zoende, gezoend*	A2*		
	zoet		znw; bnw*	zoete; zoeter, zoetst*	A2*		
	zogeheten		bnw*	/; /, /*	B2*		
	zogenaamd		bnw*	zogenaamde; /, /*	B1*		
	zogenoemd		bnw*	zogenoemde; /, /*	B2*		
	zoiets		vnw*	*	B2*		
	zojuist		bw*	*	B1*		
	zolang		ovw; bw*	*	B1*		
de	zolder		znw*	zolders; zoldertje*	A2*		
	zomaar		bw*	*	B1*		
de	zomer		znw*	zomers; zomertje*	A2*		
	zomers		bnw*	zomerse; zomerser, zomerst*	A2*		
de	zomertijd		znw*	/; /*	B2*		
de	zomervakantie		znw*	zomervakanties; /*	B1*		
	zo’n						
de	zon		znw*	zonnen; zonnetje*	A2*		
de	zondag		bw; znw*	zondagen; zondagje*	A1	dag in het weekend	
	zonde		bnw; znw*	/; /, /*	B1*		
de	zonde		bnw; znw*	zondes; zondetje*	B1*		
de	zondebok		znw*	zondebokken; zondebokje*	B2*		
	zonder		ovw; vz*	*	A2*	↔ met	
	zonderling		znw; bnw*	zonderlinge; zonderlinger, zonderlingst*	B2*		
de	zone		znw*	zones; /*	B2*		
het	zonlicht		znw*	/; /*	B2*		
de	zonnebank		znw*	zonnebanken; zonnebankje*	B1*		
de	zonnebloem		znw*	zonnebloemen; /*	B1*		
de	zonnebril		znw*	zonnebrillen; zonnebrilletje*	B1*		
de	zonnecrème		znw*	zonnecrèmes; /*	B2*		
het	zonnepaneel		znw*	zonnepanelen; zonnepaneeltje*	B1*		
	zonnig		bnw*	zonnige; zonniger, zonnigst*	A2*		
het	zoogdier		znw*	zoogdieren; zoogdiertje*	B1	dier waarvan de baby in de buik groeit	Walvissen en dolfijnen zijn ook zoogdieren.
de	zooi		znw*	zooien; zooitje*	B1*		
de	zool		znw*	zolen; zooltje*	B1*		
de	zoom		znw*	zomen; zoompje*	B1*		
de	zoon		znw*	zonen; zoontje*	A1	mannelijk kind	
het	zootje		znw*	zootjes; /*	B1*		
de	zorg		znw*	zorgen; zorgje*	A2*		
	zorgelijk		bnw*	zorgelijke; zorgelijker, zorgelijkst*	B2*		
	zorgen		ww*	zorg, zorgde, gezorgd*	A2*		
	zorgen voor						
het	zorgverlof		znw*	zorgverloven; /*	B2*		
de	zorgverzekeraar		znw*	zorgverzekeraars; /*	B1*		
	zorgvuldig		bnw*	zorgvuldige; zorgvuldiger, zorgvuldigst*	B2*		
	zorgwekkend		bnw*	zorgwekkende; zorgwekkender, zorgwekkendst*	B2*		
	zorgzaam		bnw*	zorgzame; zorgzamer, zorgzaamst*	B1*		
	zot		bnw; znw*	zotte; zotter, zotst*	B2*	dwaas, gek, raar	
	zout		znw; bnw*	zoute; zouter, zoutst*	A2*		
het	zout		znw; bnw*	zouten; zoutje*	A2*	🧂	
het	zoutje						
	zoveel		bw; vnw*	*	B1*		
	zoveelste		vnw*	*	B2*		
	zover		bw*	*	B1*		
	zoverre		bw*	*	B2*		
	zowaar		tsw; bw*	*	B2*		
	zowat		bw*	*	B2*	niet helemaal, bijna	
	zowel		ovw*	*	B2*		
	z.o.z.		afk*	*	B2*	zie ommezijde: draai het papier om	
	zozeer		bw*	*	B2*		
	z.s.m.		afk*	*	B2*	zo snel/spoedig mogelijk	
de	zucht		znw; znw*	/; /*	B1*		
	zuchten		ww*	zucht, zuchtte, gezucht*	B1		
de	zuid		znw; bw*	/; /*	A2*		
	zuidelijk		bnw*	zuidelijke; zuidelijker, zuidelijkst*	B1*		
het	zuiden		znw*	/; /*	A2*		
de	zuigeling		znw*	zuigelingen; zuigelingetje*	B2*		
	zuigen		ww*	zuig, zoog, gezogen*	B1*		
de	zuil		znw*	zuilen; zuiltje*	B2*		
	zuinig		bnw*	zuinige; zuiniger, zuinigst*	B1*		
	zuipen		ww*	zuip, zoop, gezopen*	B1*		
de/het	zuivel		znw*	/; /*	B2	melkproducten	
	zuiver		bnw*	zuivere; zuiverder, zuiverst*	B1	schoon en puur	zuiver water, zuiver bloed
	zuiver		bnw*	zuivere; zuiverder, zuiverst*	B1*	puur, niets anders dan 	
	zuiveren		ww*	zuiver, zuiverde, gezuiverd*	B2*		
	zulk		vnw*	*	B1*		
	zullen		ww*	zal, zou, /*	A2		
de	zus		bw; znw*	zussen; zusje*	A1		
	zus of zo						
de	zuster		znw*	zusters; zustertje*	A2*	religieuze dame	
	zuur		bnw; znw*	zure; zuurder, zuurst*	A2*		
het	zuur		bnw; znw*	zuren; zuurtje*	A2*		
de	zuurkool		znw*	/; /*	B1*		
de	zuurstof		znw*	zuurstoffen; /*	B1*		
	zwaaien		ww*	zwaai, zwaaide, gezwaaid*	A2*		
de	zwaan		znw*	zwanen; zwaantje*	A2*		
	zwaar		bnw*	zware; zwaarder, zwaarst*	A2*		
het	zwaard		znw*	zwaarden; zwaardje*	B1*		
de	zwaargewicht		znw; znw*	zwaargewichten; zwaargewichtje*	B2*		
	zwaargewond		bnw*	zwaargewonde; /, /*	B2*		
	zwaarmoedig		bnw*	zwaarmoedige; zwaarmoediger, zwaarmoedigst*	B2*		
de	zwaarte		znw*	zwaarten; /*	B2*		
de	zwaartekracht		znw*	/; /*	B2*		
het	zwaartepunt		znw*	zwaartepunten; /*	B2*		
	zwaarwichtig		bnw*	zwaarwichtige; zwaarwichtiger, zwaarwichtigst*	B2*		
de	zwachtel		znw*	zwachtels; zwachteltje*	B2*		
de	zwager		znw*	zwagers; zwagertje*	B1*		
	zwak		znw; bnw*	zwakke; zwakker, zwakst*	A2*		
het	zwak		znw; bnw*	zwakken; zwakje*	A2*		
	zwakzinnig		bnw*	zwakzinnige; zwakzinniger, zwakzinnigst*	B2*		
	zwalken		ww*	zwalk, zwalkte, gezwalkt*	B2*		
de	zwaluw		znw*	zwaluwen; zwaluwtje*	B2*		
	zwammen		ww*	zwam, zwamde, gezwamd*	B2*		
de	zwang		znw*	/; /*	B2*		
	zwanger		bnw*	zwangere; zwangerder, zwangerst*	A2*		
de	zwangerschap		znw*	zwangerschappen; zwangerschapje*	B1*		
het	zwangerschapsverlof		znw*	zwangerschapsverloven; /*	B2*		
	zwart		bnw; znw*	zwarte; zwarter, zwartst*	A2*		
	zwartrijden		ww*	zwartrijd, reed zwart, zwartgereden*	B2*		
	zwartwit						
de	zwavel		znw*	/; /*	B2*		
de	zweep		znw*	zwepen; zweepje*	B1*		
de	zweer		znw*	zweren; zweertje*	B1*		
het	zweet		znw*	/; /*	A2*		
	zwellen		ww*	zwel, zwol, gezwollen*	B2*		
de	zwelling		znw*	zwellingen; zwellinkje*	B2*		
het	zwembad		znw*	zwembaden; zwembadje*	A2*		
	zwemmen		ww*	zwem, zwom, gezwommen*	A2*		
de	zwendel		znw*	/; zwendeltje*	B2*		
	zwenken		ww*	zwenk, zwenkte, gezwenkt*	B2*		
	zweren		ww; ww*	zweer, zweerde, gezweerd*	B1*		
	zweren		ww; ww*	zweer, zweerde, gezworen*	B1*		
	zweren bij						
de	zwerm		znw*	zwermen; zwermpje*	B2*		
	zwerven		ww*	zwerf, zwierf, gezworven*	B1*		
de	zwerver		znw*	zwervers; zwervertje*	B1*		
	zweten		ww*	zweet, zweette, gezweet*	A2*		
	zwetsen		ww*	zwets, zwetste, gezwetst*	B2*		
	zweven		ww*	zweef, zweefde, gezweefd*	B1*		
	zwichten		ww*	zwicht, zwichtte, gezwicht*	B2*		
	zwieren		ww*	zwier, zwierde, gezwierd*	B2*		
	zwierig		bnw*	zwierige; zwieriger, zwierigst*	B2*		
	zwijgen		ww*	zwijg, zweeg, gezwegen*	B1	niet spreken; niets zeggen	In de stille ruimte van de bieb moet je zwijgen.
	zwijgzaam		bnw*	zwijgzame; zwijgzamer, zwijgzaamst*	B2*		
het	zwijn		znw*	zwijnen; zwijntje*	B2	soort varken	
de	Zwitser		znw*	zwitsers; /*	B2*	man uit Zwitserland	Mijn tante is getrouwd met een Zwitser.
	Zwitserland					land tussen Duitsland en Italië	Zwitserland heeft vier officiële talen.
	Zwitsers		bnw*	zwitserse; zwitserser, zwitserst*	B2*	uit Zwitserland	De Zwitserse frank is ongeveer €1.
	zwoegen		ww*	zwoeg, zwoegde, gezwoegd*	B2	hard werken met veel moeite	Ik heb echt gezwoegd op mijn examen!
	zwoel		bnw*	zwoele; zwoeler, zwoelst*	B2	vochtig warm	Het was een zwoele zomeravond.
	zwoel		bnw*	zwoele; zwoeler, zwoelst*	B2	erotisch	Ze sturen zwoele foto’s naar elkaar.
de	zzp'er		znw*	zzp'ers; /*	B2*		
