	Lemma	Fonetisch	Woordsoort	Vormen	Erk	Synoniem of definitie	Voorbeeldzin
de	x		znw*	x'en; x'je*	A1	24ste letter van het alfabet	Hendrickx schrijf je soms met een x op het einde.
de	X-benen		znw*	x-benen; /*	B2*		
de	xenofobie		znw*	/; /*	B2*	angst voor vreemde dingen of personen	
	XL		bnw*	/; /, /*	B2*		
	XS		bnw*	/; /, /*	B2*		
de	xtc		znw*	/; /*	B2*	ecstasy (drug)	
de	xylofoon		znw*	xylofoons; xylofoontje*	B2*	soort instrument	
