	Lemma	Fonetisch	Woordsoort	Vormen	Erk	Synoniem of definitie	Voorbeeldzin
	eigenlijk		bnw*	eigenlijke; eigenlijker, eigenlijkst*	B1	werkelijk, feitelijk	
	eigenlijk		bnw*	eigenlijke; eigenlijker, eigenlijkst*	B1*		
de	eigennaam		znw*	eigennamen; /*	B2*		
de	eigenschap		znw*	eigenschappen; eigenschapje*	B1*		
	eigentijds		bnw*	eigentijdse; eigentijdser, eigentijdst*	B2*		
	eigenwijs		bnw*	eigenwijze; eigenwijzer, eigenwijst*	B1*		
	eigenzinnig		bnw*	eigenzinnige; eigenzinniger, eigenzinnigst*	B2*		
de	eik		znw*	eiken; eikje*	B1*		
de	eikel		znw*	eikels; eikeltje*	B1*		
het	eiland		znw*	eilanden; eilandje*	A2		
het	eind		znw*	einden; eindje*	A2*		
het	einde		znw*	einden; /*	A2	↔ begin	
de	eindejaarspremie		znw*	eindejaarspremies; eindejaarspremietje*	B2*	(BE)	
	eindelijk		bw*	*	B1*	na een lange tijd	
	eindeloos		bnw*	eindeloze; eindelozer, eindeloost*	B2*		
het	eindexamen		znw*	eindexamens; /*	B2*		
	eindigen		ww*	eindig, eindigde, geëindigd*	A2	stoppen	
het	eindrapport		znw*	eindrapporten; eindrapportje*	B2*		
de	eindredacteur		znw*	eindredacteurs; /*	B2*		
de	eindstreep		znw*	eindstrepen; /*	B2*		
het	eindwerk		znw*	eindwerken; eindwerkje*	B2*		
de	eis		znw*	eisen; eisje*	B1		
	eisen		ww*	eis, eiste, geëist*	B1*		
de	eiser		znw*	eisers; eisertje*	B2*		
de	eiseres		znw*	eiseressen; /*	B2*		
het	eiwit		znw*	eiwitten; eiwitje*	B2*		
het	EK		znw; znw*	ek's; /*	B2*		
de	ekster		znw*	eksters; ekstertje*	B2*		
het	elan		znw*	/; /*	B2*		
het	elastiek		znw*	elastieken; elastiekje*	B1*		
het	elastiekje						
	elders		bw*	*	A2		
het	electoraat		znw*	electoraten; /*	B2*		
	elegant		bnw*	elegante; eleganter, elegantst*	B1*		
de/het	elektra		znw*	/; /*	B1*		
de	elektricien		znw*	elektriciens; /*	B1*		
de	elektriciteit		znw*	/; /*	A2*		
	elektrisch		bnw*	elektrische; elektrischer, /*	B1*	op energie	
de	elektronica		znw*	/; /*	B2*		
	elektronisch		bnw*	elektronische; elektronischer, /*	B1*		
het	element		znw*	elementen; elementje*	B2*		
	elementair		bnw*	elementaire; elementairder, elementairst*	B2*		
	elf		znw; znw; tw*	*	A1		
de	elf		znw; znw; tw*	elven; elfje*	A2		
het	elftal		znw*	elftallen; elftalletje*	A2*		
	elimineren		ww*	elimineer, elimineerde, geëlimineerd*	B2*		
	elitair		bnw*	elitaire; elitairder, elitairst*	B2*		
de	elite		znw*	elites; /*	B2*		
	elk		vnw*	*	A1		
	elkaar		vnw*	*	A2		
de	elleboog		znw*	ellebogen; elleboogje*	B1*		
de	ellende		znw*	ellenden; /*	B1*		
	ellendig		bnw*	ellendige; ellendiger, ellendigst*	B1*		
de	e-mail		znw*	e-mails; e-mailtje*	A2*		
de	emancipatie		znw*	emancipaties; /*	B2*		
het	embargo		znw*	embargo's; /*	B2*		
het	embleem		znw*	emblemen; embleempje*	B2*		
het	embryo		znw*	embryo's; embryootje*	B2*		
