	Lemma	Fonetisch	Woordsoort	Vormen	Erk	Synoniem of definitie	Voorbeeldzin
de	y	ɛɪ*	znw*	y's; y'tje*	A1	25ste letter van het alfabet	
de	yen	jɛn*	znw*	yens; /*	B2	Japans geld (¥)	
de	yeti	ˈjeːti*	znw*	yeti's; /*	B2	mythische sneeuwman die woont in de Himalaya	
de	yoga	ˈjoːɣaː*	znw*	/; /*	B1		
de	yoga-instructeur	*	znw*	yoga-instructeurs; /*	B1	persoon die yogales geeft	
de	yoghurt	ˈjɔxʏrt*	znw*	yoghurts; yoghurtje*	A2		
het	yoghurtijs	*	znw*	/; yoghurtijsje*	B1	bevroren dessert op basis van yoghurt	
de	yup	jʏp*	znw*	yuppen; /*	B2	young urban professional	
