	Lemma	Fonetisch	Woordsoort	Vormen	Erk	Synoniem of definitie	Voorbeeldzin
	aangeven		ww*	geef aan, gaf aan, aangegeven*	A2	iets geven dat een beetje te ver is	Kan je de ketchup even aangeven?
	aangewezen op		bnw			afhangend van	
	aangezien		ovw*	*	B1	omdat	Aangezien ik geen info heb, kan ik niets doen.
de	aangifte		znw*	aangiftes; /*	B2*		
het	aangiftebiljet		znw*	aangiftebiljetten; aangiftebiljetje*	B2*		
	aangrijpen		ww*	aangrijp, aangreep, aangegrepen*	B2*		
	aangrijpend		bnw*	aangrijpende; aangrijpender, aangrijpendst*	B2*		
	aanhalen		ww*	haal aan, aanhaalde, aangehaald*	B2*		
het	aanhalingsteken		znw*	aanhalingstekens; aanhalingstekentje*	B2*		
de	aanhang		znw*	/; /*	B2*		
	aanhangen		ww*	hang aan, hing aan, aangehangen*	B2*		
de	aanhanger		znw*	aanhangers; aanhangertje*	B1*		
de	aanhanger		znw*	aanhangers; aanhangertje*	B1*	aanhangwagen	
	aanhangig		bnw*	aanhangige; /, /*	B2*		
de	aanhangwagen		znw*	aanhangwagens; aanhangwagentje*	B1*		
	aanhankelijk		bnw*	aanhankelijke; aanhankelijker, aanhankelijkst*	B2*		
de	aanhef		znw*	aanheffen; /*	B2*		
	aanhoren		ww*	aanhoor, aanhoorde, aangehoord*	B2*		
	aanhouden		ww*	aanhoud, hield aan, aangehouden*	B1*		
	aanhoudend		bnw*	aanhoudende; aanhoudender, aanhoudendst*	B2	voortdurend, blijvend, zonder te stoppen	
	aankijken		ww*	aankijk, keek aan, aangekeken*	B1	in de ogen kijken	De leraar keek de student streng aan.
	aankijken op		ww			de schuld geven van	
de	aanklacht		znw*	aanklachten; aanklachtje*	B1*		
	aanklagen		ww*	aanklaag, aanklaagde, aangeklaagd*	B1*		
	aankleden		ww*	kleed aan, aankleedde, aangekleed*	A2	kleren aandoen	Ik kleed me in twee minuten aan.
	aankloppen		ww*	aanklop, klopte aan, aangeklopt*	B1*	op de deur kloppen	
	aankloppen bij		ww			vragen om iets te krijgen	
	aanknopen		ww*	aanknoop, aanknoopte, aangeknoopt*	B1*		
het	aanknopingspunt		znw*	aanknopingspunten; aanknopingspuntje*	B2*		
	aankomen		ww*	kom aan, kwam aan, aangekomen*	A2	arriveren	De trein komt om kwart over vijf aan.
	aankomen		ww*	kom aan, kwam aan, aangekomen*	B1	dikker worden	
	aankomend		bnw*	aankomende; /, /*	B2*	komend; volgend	
de	aankomst		znw*	aankomsten; /*	B1		Je krijgt een PCR-test bij aankomst in het land.
	aankondigen		ww*	kondig aan, aankondigde, aangekondigd*	B2	bekendmaken, openbaar maken	Wanneer heeft ze haar verloving aangekondigd?
de	aankondiging		znw*	aankondigingen; /*	B2	bekendmaking, openbaar bericht	De aankondiging stond in de krant.
de	aankoop		znw*	aankopen; aankoopje*	B2*		
	aankopen		ww*	aankoop, kocht aan, aangekocht*	B2*		
	aankruisen		ww*	kruis aan, kruiste aan, aangekruist*	B1	een X schrijven bij de optie	Kruis alle correcte antwoorden aan.
	aankunnen		ww*	aankan, kon aan, aangekund*	B1*		
de	aanleg		znw*	/; /*	B1	bouw	De aanleg van het fietspad begint in juni.
de	aanleg		znw*	/; /*	B1	talent	Ik heb echt geen aanleg voor talen.
de	aanleiding		znw*	aanleidingen; aanleidinkje*	A2	reden waarom je begint	Hij is vaak boos zonder aanleiding.
de	aanloop		znw*	aanlopen; aanloopje*	B2*	snelle stappen die je neemt voor je springt	
de	aanloop		znw*	aanlopen; aanloopje*	B2*	periode voor je begint	
de	aanloop		znw*	aanlopen; aanloopje*	B2*	bezoek; gasten	
	aanmanen		ww*	aanmaan, maande aan, aangemaand*	B2*		
de	aanmaning		znw*	aanmaningen; aanmaninkje*	B2*		
	aanmelden		ww*	aanmeld, aanmeldde, aangemeld*	A2		
de	aanmelding		znw*	aanmeldingen; /*	B1*		
	aanmerkelijk		bnw*	aanmerkelijke; aanmerkelijker, aanmerkelijkst*	B2*		
de	aanmerking		znw*	aanmerkingen; aanmerkinkje*	B2*		
	aanmoedigen		ww*	aanmoedig, moedigde aan, aangemoedigd*	B1*		
de	aanmoediging		znw*	aanmoedigingen; aanmoedigingetje*	B1*		
	aannemelijk		bnw*	aannemelijke; aannemelijker, aannemelijkst*	B2*		
	aannemen		ww*	neem aan, aannam, aangenomen*	A2	in handen nemen wat je krijgt	
	aannemen		ww*	neem aan, aannam, aangenomen*	B1	als juist accepteren	Ik neem aan dat je komt?
	aannemen		ww*	neem aan, aannam, aangenomen*	A2	werk (een baan/job) geven	Fantastische sollicitatie. We nemen je aan!
de	aannemer		znw*	aannemers; aannemertje*	B1*		
de	aanpak		znw*	aanpakken; aanpakje*	B1*		
	aanpakken		ww*	pak aan, pakte aan, aangepakt*	B1*		
	aanpassen		ww*	pas aan, paste aan, aangepast*	B1	veranderen met een bepaald doel	
zich	aanpassen		ww*	pas aan, paste aan, aangepast*	B1*	evolueren, jezelf veranderen met een bepaald doel	
	aanprijzen		ww*	prijs aan, prees aan, aangeprezen*	B2*		
	aanraden		ww*	aanraad, ried aan, aangeraden*	B1*		
	aanraken		ww*	aanraak, aanraakte, aangeraakt*	A2*		
de	aanraking		znw*	aanrakingen; aanrakinkje*	B2*		
	aanranden		ww*	rand aan, aanrandde, aangerand*	B2*		
de	aanranding		znw*	aanrandingen; aanrandinkje*	B2*		
het	aanrecht		znw*	aanrechten; aanrechtje*	B1*		Maak het aanrecht altijd schoon voor je kookt.
	aanreiken		ww*	aanreik, reikte aan, aangereikt*	B2*		
	aanrichten		ww*	richt aan, richtte aan, aangericht*	B2*		
	aanrijden		ww*	rij aan, reed aan, aangereden*	B1*		
de	aanrijding		znw*	aanrijdingen; aanrijdinkje*	B1*		
	aanschaffen		ww*	aanschaf, aanschafte, aangeschaft*	B2*		
