	Lemma	Fonetisch	Woordsoort	Vormen	ERK	Synoniem of definitie	Voorbeeldzin	Count
	ettelijke					meerdere		293
de	etter					vies geel vocht, bv. uit een vuile wond		294
het	ettertje							295
de	etude							296
het	etui							297
de	EU							298
de	euforie							299
	euforisch							300
de	euro							301
	euro-							302
	Europa							303
de	Europeaan							304
	Europees							305
de	euthanasie							306
	euvel							307
het	euvel							308
	evacueren							309
	evalueren							310
het	evangelie							311
	even		bw			korte tijd		312
	even		bnw			deelbaar door 2		313
de	evenaar							314
	evenals				B2	ook		315
	evenaren							316
	eveneens							317
het	evenement							318
	evengoed							319
	evenmin							320
	eventjes					voor een korte tijd		321
	eventueel		bw					322
	eventueel		bnw					323
	evenveel							324
	evenwel							325
het	evenwicht							326
	evenwichtig							327
	evenwijdig							328
	evenzeer							329
	evident							330
de	evolutie							331
	evt.		afk			eventueel		332
de	ex							333
	ex-							334
het	examen							335
de	examinator							336
	excentriek							337
het	exces							338
	exclusief							339
	exclusief							339
de	excursie							340
het	excuus							341
	executeren							342
de	executie							343
het	exemplaar							344
	exotisch							345
de	expansie							346
de	expat							347
de	expeditie							348
het	experiment							349
	experimenteel							350
	experimenteren							351
de	expert							352
de	expertise							353
	expliciet							354
	exploderen							355
	exploiteren							356
de	explosie							357
	explosief							358
het	explosief							359
de	export							360
	exporteren							361
	exposeren							362
de	expositie							363
	expres							364
de	expressie							365
de	expresweg							366
de	extase							367
	extern							368
	extra					meer		369
het	extraatje							370
	extravert							371
	extreem							372
	extreem							372
de	extremist							373
de	ezel							374
de	ezel							374
